Metode,Iterasi,Servo_IDs,Waktu_Write_ms,Waktu_Read_ms,Waktu_Operasi_ms,Error_Akhir_Servo_0,Error_Akhir_Servo_1,Error_Akhir_Servo_2,Error_Akhir_Servo_3,Error_Akhir_Servo_4,Error_Akhir_Servo_5,Error_Akhir_Servo_6,Error_Akhir_Servo_7,Error_Akhir_Servo_8,Error_Akhir_Servo_9,Error_Akhir_Servo_10,Error_Akhir_Servo_11,Error_Akhir_Servo_12,Error_Akhir_Servo_13,Error_Akhir_Servo_14,Error_Akhir_Servo_15,Error_Akhir_Servo_16,Error_Akhir_Servo_17,Error_Akhir_Servo_18,Error_Akhir_Servo_19,Error_Akhir_Servo_20,Error_Akhir_Servo_21,Error_Akhir_Servo_22,Error_Akhir_Servo_23,Error_Akhir_Servo_24,Error_Akhir_Servo_25,Error_Akhir_Servo_26,Jumlah_Error,Recovery_Count,Persentease_Read%,Timeout,CPU_Usage_Start_%,CPU_Usage_End_%,Memory_Usage_MB
NONGROUP_27_SERVO,1,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26]",1424.7067000001152,818.0342999999084,2430.4127000000335,1,1,1,1,0,0,0,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,100.0,0,0.0,31.0,80.19921875
NONGROUP_27_SERVO,2,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26]",961.4274999998997,673.0594999999084,1821.272399999998,2,1,0,3,5,1,0,1,4,0,2,0,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,100.0,0,0.0,22.2,80.19921875
NONGROUP_27_SERVO,3,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26]",1358.9535999999498,689.0339999999924,2238.020400000096,2,1,0,4,3,1,1,1,1,1,2,0,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,100.0,0,0.0,34.3,80.19921875
NONGROUP_27_SERVO,4,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26]",1572.7849999998398,773.1884999998329,2567.3996000000443,1,0,0,8,2,0,1,1,2,0,1,1,25,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,100.0,1,0.0,33.3,80.19921875
NONGROUP_27_SERVO,5,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26]",1132.1066999998948,689.8909999999887,2756.6679000001386,2,0,1,1,1,2,3,1,3,1,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,100.0,0,0.0,38.6,80.140625
NONGROUP_27_SERVO,6,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26]",1356.279000000086,731.7051999998512,2977.883400000337,2,1,1,1,0,3,3,0,1,1,1,1,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,100.0,0,0.0,34.0,80.140625
NONGROUP_27_SERVO,7,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26]",1368.3998000001338,746.8057000000954,2305.3836999997657,2,1,1,2,0,1,2,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,100.0,0,0.0,31.1,80.14453125
NONGROUP_27_SERVO,8,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26]",1316.4222999998856,743.3611000001292,3001.0465000000295,2,1,1,1,0,1,2,1,2,1,2,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,100.0,0,0.0,36.8,80.1484375
NONGROUP_27_SERVO,9,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26]",1349.5632999997724,855.0955000000613,4737.684000000172,3,2,0,2,3,0,2,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,100.0,0,0.0,33.3,80.1484375
NONGROUP_27_SERVO,10,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26]",1447.0279000001938,849.8781999996936,3422.7992999999515,2,2,1,4,0,1,3,1,3,1,0,1,3,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,100.0,0,0.0,28.3,80.15234375
