NAME,T_XL320#0,T_XL320#1,T_XL320#2,T_XL320#3,T_XL320#4,T_XL320#5,T_XL320#6,T_XL320#7,T_XL320#8,T_XL320#9,T_XL320#10,T_XL320#11,T_XL320#12,T_XM430#13,T_XM430#14,T_XM430#15,T_XM430#16,T_XM430#17,T_XM430#18,T_XM430#19,T_XM430#20,T_XM430#21,T_XM430#22,T_XM430#23,T_XM430#24,T_XM430#25,T_XM430#26,DXL#0,DXL#1,DXL#2,DXL#3,DXL#4,DXL#5,DXL#6,DXL#7,DXL#8,DXL#9,DXL#10,DXL#11,DXL#12,DXL#13,DXL#14,DXL#15,DXL#16,DXL#17,DXL#18,DXL#19,DXL#20,DXL#21,DXL#22,DXL#23,DXL#24,DXL#25,DXL#26
olegoleg,200,200,200,200,200,200,200,200,200,350,200,200,200,800,800,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,150,149,167, 173,141,154,154,148,156,146,149,163,152,176,176,180,181,179,174,252,105,37,321,111,249,179,174
olegoleg,200,200,200,200,200,200,200,200,200,350,200,200,200,800,800,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,153,146,143,237,76,176,125,87,252,10,148,150,218,316,106,180,181,179,174,252,105,37,321,111,249,179,174
olegoleg2--,200,200,200,200,200,200,200,200,200,350,200,200,200,800,800,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,170,140,136,246,76,175,134,88,242,0,237,197,228,316,104,180,181,179,174,252,105,37,321,111,249,179,174
olegoleg2--,200,200,200,200,200,200,200,200,200,350,200,200,225,800,800,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,147,138,139,234,77,172,137,69,244,145,300,89,85,314,98,180,181,179,174,252,105,37,321,111,249,179,174
olegoleg2,225,225,225,225,225,225,225,225,225,225,225,225,200,800,800,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,147,137,138,245,83,175,123,84,245,25,131,86,217,279,111,180,181,179,174,252,105,37,321,111,249,179,174
olegoleg2,225,225,225,225,225,225,225,225,225,225,235,225,225,800,800,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,136,138,140,229,87,186,103,74,228,71,207,242,86,297,93,180,181,179,174,252,105,37,321,111,249,179,174
olegoleg2,200,200,200,200,200,200,200,200,200,200,200,200,200,800,800,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,132,130,143,206,136,177,96,52,226,0,243,241,64,317,87,180,181,179,174,252,105,37,321,111,249,179,174
olegoleg3,200,200,200,200,200,200,200,200,200,200,200,200,200,800,800,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,129,121,143,181,146,193,144,60,228,31,253,105,228,278,86,180,181,179,174,252,105,37,321,111,249,179,174
olegoleg3,200,200,200,23,43,43,200,23,23,200,23,43,40,800,800,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,136,130,139,225,72,150,137,105,199,20,277,123,215,323,103,180,181,179,174,252,105,37,321,111,249,179,174
olegoleg4,100,100,100,100,100,100,100,100,100,100,200,100,100,800,800,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,103,142,155,238,103,103,127,104,233,85,130,77,221,300,113,180,181,179,174,252,105,37,321,111,249,179,174
olegoleg4,100,100,100,100,100,100,100,100,100,100,100,100,100,800,800,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,111,141,144,243,103,150,127,67,232,157,130,77,221,345,113,180,181,179,174,252,105,37,321,111,249,179,174
olegoleg19,200,200,200,200,200,200,200,200,200,200,200,200,200,800,800,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,194,133,135,245,106,234,90,103,243,0,240,86,232,268,153,180,181,179,174,252,105,37,321,111,249,179,174
